2026-07-22 12:01:29 | INFO | agents.tool_registry | Retriever Tool invoked for query: earned leaves policy
2026-07-22 12:01:29 | INFO | utils.audit_logger | TOOL INVOKED: Policy Retriever Tool
2026-07-22 12:01:29 | INFO | tools.retriever_tool | PolicyRetrieverTool invoked.
2026-07-22 12:01:29 | INFO | tools.retriever_tool | Query: earned leaves policy
2026-07-22 12:01:29 | INFO | ingestion.retriever | Retrieving documents for query: earned leaves policy
2026-07-22 12:01:30 | INFO | httpx | HTTP Request: POST https://api.cohere.com/v1/embed "HTTP/1.1 200 OK"
2026-07-22 12:01:30 | INFO | ingestion.retriever | Retrieved 5 candidate chunks.
2026-07-22 12:01:30 | INFO | ingestion.retriever | Distance Score: 0.8291 | 01_Leave_and_Attendance_Policy.pdf
2026-07-22 12:01:30 | INFO | ingestion.retriever | Distance Score: 0.9613 | 01_Leave_and_Attendance_Policy.pdf
2026-07-22 12:01:30 | INFO | ingestion.retriever | Distance Score: 1.0558 | 01_Leave_and_Attendance_Policy.pdf
2026-07-22 12:01:30 | INFO | ingestion.retriever | Distance Score: 1.1474 | 01_Leave_and_Attendance_Policy.pdf
2026-07-22 12:01:30 | INFO | ingestion.retriever | Distance Score: 1.2596 | 06_Employee_Benefits_Guide.pdf
2026-07-22 12:01:30 | INFO | ingestion.retriever | 0 chunks passed the grounding threshold.
2026-07-22 12:01:30 | WARNING | tools.retriever_tool | No documents passed the grounding threshold.
2026-07-22 12:01:30 | INFO | agents.tool_registry | Retriever returned 0 chunk(s).
2026-07-22 12:01:30 | WARNING | agents.tool_registry | No policy information found for query: earned leaves policy
2026-07-22 12:01:31 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-22 12:01:31 | INFO | agents.chat_service | Added 0 source citation(s).
2026-07-22 12:01:31 | INFO | agents.chat_service | Successfully processed query for session 'session_001'.
2026-07-22 12:03:21 | INFO | agents.policy_agent | Initializing Policy Agent...
2026-07-22 12:03:21 | INFO | agents.policy_agent | Policy Agent initialized successfully.
2026-07-22 12:03:21 | INFO | agents.chat_service | Initializing Chat Service...
2026-07-22 12:03:21 | INFO | agents.chat_service | Received query for session 'session_001'.
2026-07-22 12:03:21 | INFO | agents.dependencies | Initializing agent dependencies.
2026-07-22 12:03:21 | INFO | ingestion.embedder | Initializing Cohere embedding model: embed-english-v3.0
2026-07-22 12:03:22 | INFO | ingestion.embedder | Embedding model initialized successfully.
2026-07-22 12:03:22 | INFO | ingestion.vector_store | Loading vector store from D:\HR-IT-Policy-Assistant\data\chroma_db
2026-07-22 12:03:22 | INFO | ingestion.vector_store | Vector store loaded successfully.
2026-07-22 12:03:22 | INFO | agents.dependencies | Agent dependencies initialized successfully.
2026-07-22 12:03:22 | INFO | agents.chat_service | Running Policy Agent...
2026-07-22 12:03:23 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-22 12:03:23 | INFO | agents.chat_service | Added 0 source citation(s).
2026-07-22 12:03:23 | INFO | agents.chat_service | Successfully processed query for session 'session_001'.
2026-07-22 12:03:36 | INFO | agents.policy_agent | Initializing Policy Agent...
2026-07-22 12:03:36 | INFO | agents.policy_agent | Policy Agent initialized successfully.
2026-07-22 12:03:36 | INFO | agents.chat_service | Initializing Chat Service...
2026-07-22 12:03:36 | INFO | agents.chat_service | Received query for session 'session_001'.
2026-07-22 12:03:36 | INFO | agents.dependencies | Initializing agent dependencies.
2026-07-22 12:03:36 | INFO | ingestion.embedder | Initializing Cohere embedding model: embed-english-v3.0
